Beam 50,Beam 52,ratio1
226618.6,121549.4,0.536361093043554
226621,121548.9,0.53635320645483
226620.4,121550.8,0.536363010567451
226613.5,121550.1,0.536376252959334
226613.1,121542.1,0.536341897268958
226603,121542.4,0.536367126648809
226600.6,121535.1,0.536340592213789
226610.8,121541.4,0.536344251906793
226611.8,121544.1,0.536353799758
226594.8,121551.3,0.536425813831562
226581.1,121547.7,0.536442359932051
226596.5,121548.2,0.536408108686586
226606.4,121546.9,0.536378937223309
226592,121541.8,0.536390516876147
226589,121539.9,0.536389233369669
226578.8,121537.6,0.53640322925181
226594.5,121532,0.536341349856241
226595.5,121545.6,0.536399001745401
226582.1,121543.1,0.536419690699309
226589.6,121536.6,0.536373249257689
226564.5,121536.1,0.53643046461383
226565.1,121536.9,0.536432575008243
226570.9,121541.1,0.536437380087205
226570.3,121530.1,0.536390250619786
226574.6,121535.6,0.536404345412063
226567.9,121542.9,0.536452427726964
226576.8,121546.7,0.536448127080972
226567.1,121547.9,0.536476390437976
226578.4,121535.8,0.53639623194444
226569.3,121540.7,0.536439402867026
226569.6,121533.1,0.53640514879313
226559.8,121539.2,0.536455275825632
226556.6,121540.2,0.536467266899309
226559.8,121537.1,0.536446006749653
226560.4,121533.1,0.536426930743413
226559.4,121533.2,0.536429739838647
226559.4,121531.9,0.536424001829101
226558,121544.8,0.536484255687285
226548.8,121528.1,0.536432327163066
226564.1,121523.7,0.536376681036404
226554.9,121528.8,0.536420973459413
226559,121524.4,0.536391844949881
226554.9,121522.8,0.536394489812403
226574.4,121525.4,0.536359800577647
226555.3,121526.4,0.536409432928737
226534.9,121512.1,0.536394612927191
226548.5,121518.4,0.536390221078489
226541.3,121525.8,0.536439933910506
226537.3,121518.8,0.53641850591492
226526.4,121519.4,0.536446966004845
226560.4,121516.6,0.536354102482164
226532.5,121511.6,0.536398088574487
226540,121518.8,0.536412112651188
226542.4,121509.9,0.536367143634039
226554.3,121530,0.536427690844976
226536.3,121518.4,0.536419108107619
226534.1,121529.5,0.536473316820735
226543.4,121533.4,0.536468508903813
226528.4,121526.4,0.536473130962828
226529,121525.6,0.536468178467216
226553.3,121520.8,0.536389450076428
226530.8,121530.1,0.536483780572002
226527.4,121533.1,0.536505076207117
226536.5,121529.8,0.536468957541058
226545.4,121527.9,0.536439495129895
226531.4,121525.6,0.536462494824117
226530.4,121533.1,0.536497971133234
226506.3,121524.7,0.536517968815878
226541.6,121523.4,0.536428629443775
226518.9,121527.8,0.536501810665688
226532.1,121526.9,0.536466575818615
226534.5,121524.5,0.536450297857501
226516.4,121514.5,0.536449016495053
226509.3,121519.1,0.53648613986269
226499.4,121518.3,0.536506056969687
226497.8,121507,0.536459956785452
226496.6,121506.5,0.536460591461417
226517.8,121522,0.536478810936712
226528.8,121516.6,0.536428922062007
226495.6,121513.3,0.536492982645137
226493.6,121506.5,0.536467697100492
226507.3,121501.2,0.536411850743883
226511.6,121500.7,0.536399460336689
226504.5,121515,0.536479407693887
226523.6,121516.7,0.536441677600038
226510.4,121516.9,0.536473821952546
226502.5,121511.4,0.536468250902308
226505.3,121509.2,0.536451906423382
226494.3,121494.6,0.536413499147661
226504.9,121513.4,0.536471396424536
226494.3,121511.3,0.536487231687508
226514.8,121517.1,0.536464284011464
226511.4,121505.6,0.536421566420057
226496.6,121506.6,0.536461032969148
226489.3,121509.6,0.536491569358906
226502.5,121504.9,0.536439553647311
226512.4,121506.1,0.536421405627242
226499.4,121504.9,0.536446895665066
226498,121493.4,0.536399438405637
226499.1,121502.4,0.536436568622127
226481.4,121506.1,0.536494829155948
226469.5,121496.3,0.536479746720861
226475.9,121499.3,0.536477832740702
226480.4,121505.3,0.53649366567703
226457.9,121498.5,0.53651694200114
226472.5,121501.2,0.536494276347018
226509.3,121506,0.536428305592751
226495,121493.2,0.536405660169099
226495.4,121495.8,0.536416192116926
226482.4,121502.1,0.536474798924773
226470.1,121496.9,0.536480974751192
226472.5,121498.3,0.536481471260308
226492.3,121498.1,0.536433688915694
226497.4,121500.2,0.536430881767296
226510.4,121508.9,0.536438503485933
226474.3,121515.3,0.536552271052389
226470.1,121503.9,0.536511883908737
226471.5,121504.9,0.536512982869809
226463.3,121502.3,0.536520928556636
226470.5,121506.5,0.536522416826916
226479.6,121510.6,0.536518962414275
226475.9,121496.1,0.536463703201974
226471.1,121502.8,0.536504657768695
226474.9,121500.9,0.536487266359318
226482.4,121509.9,0.53650923868698
226488.9,121503.1,0.536463817873635
226479.6,121496.4,0.536456263610497
226480.4,121494.1,0.536444213274085
226489.3,121487.4,0.536393551483448
226455.9,121481.3,0.536445727402112
226457.1,121502.8,0.536537825486593
226467.8,121503.3,0.536514683323634
226481.4,121492.4,0.536434338537293
226448.4,121496.9,0.536532384419585
226475.3,121491,0.536442605440858
226471.1,121505.4,0.536516138262233
226473.3,121494.6,0.536463238712908
226470.8,121486.1,0.536431628271724
226486.1,121492.5,0.536423648073767
226460.3,121495.4,0.536497567123244
226447.6,121498.1,0.536539579134422
226464,121503.3,0.536523685883849
226459.6,121497.1,0.536506732326649
226456.9,121497.1,0.536513128988342
226467.4,121481.4,0.53641892828725
226457.1,121485.1,0.53645966498732
226464,121488.4,0.536457891762046
226460.6,121487.6,0.536462413329294
226481.8,121485.7,0.536403808164718
226468.4,121487.9,0.536445261237329
226461.6,121495.3,0.536494045789661
226451.4,121495.9,0.536520860546678
226436,121493,0.536544542387253
226468.4,121503.3,0.536513261894375
226462.3,121502.3,0.536523297696791
226467,121497.4,0.536490526213532
226448,121490.8,0.536506394404013
226431.6,121486.8,0.536527587138898
226418.4,121479.3,0.536525741724171
226415.3,121493.9,0.536597570923873
226420.4,121480.4,0.536525860743997
226436.8,121488.6,0.536523215307759
226444.9,121492.9,0.536523012883046
226438.1,121485.9,0.536508211294831
226446.3,121495.8,0.536532502407856
226437.8,121490.8,0.536530561593515
226437.8,121489.6,0.536525262124963
226426.5,121485.7,0.536534813725425
226435.8,121486.2,0.536514985704557
226438.1,121491.5,0.536532942115307
226457.9,121488.4,0.53647234209979
226445.6,121494.9,0.536530186499539
226436.8,121486.1,0.536512174699519
226447,121481.1,0.536465928009645
226419.8,121472.9,0.536494158196412
226421.1,121483.7,0.536538776642283
226438.5,121486.2,0.536508588424672
226452.4,121485.6,0.536473007130858
226424.9,121488.1,0.536549204614864
226422.8,121472.3,0.536484399980921
226445.6,121480.1,0.536464828638755
226430.6,121483.2,0.536514057728946
226449.4,121483,0.536468632727665
226444.9,121495.8,0.536535819530491
226446.6,121486.1,0.536488955895121
226427.5,121489.1,0.536547460003754
226411.9,121483.5,0.53655969496303
226414.3,121476.2,0.536521765630528
226401.4,121482.3,0.536579279103398
226425.9,121489.4,0.536552576361626
226428.9,121487.3,0.536536193038963
226415.6,121483.2,0.53654960170589
226416,121478.4,0.536527453890184
226415.3,121485.4,0.536560029291307
226414.3,121477.7,0.536528390653771
226418,121471.1,0.536490473372258
226414.6,121482.4,0.536548438130757
226422.1,121479.9,0.536519624188628
226433.4,121478.7,0.536487549981584
226434,121471.6,0.536454772693147
226428.3,121469,0.536456794490795
226423.1,121472.8,0.536485897419477
226416.3,121475,0.53651172640839
226413.9,121486.8,0.536569530404273
226425.5,121485.1,0.536534533433734
226427.9,121485.9,0.536532379622829
226421.8,121483.3,0.536535351278013
226437.8,121481.4,0.53648904908986
226434.8,121474.5,0.53646568460325
226411.3,121470.6,0.536504140915228
226403.8,121476.5,0.536547973134727
226409.1,121477.9,0.536541596605437
226422.8,121470.9,0.53647821685802
226412.3,121469.9,0.536498679621204
226392.1,121463.8,0.536519604703521
226384.6,121470.2,0.536565649783598
226378.9,121474.6,0.53659859642396
226395.5,121473.6,0.536554834349623
226406.4,121471.8,0.536521052408413
226404.4,121466.4,0.536501940775003
226393.9,121464.1,0.536516664097398
226380.9,121460,0.536529362680332
226405.4,121472.1,0.536524747201259
226380.3,121470.9,0.536578933767647
226399.6,121475.5,0.536553509811855
226396.9,121465.4,0.536515296808393
226389.1,121461.2,0.536515229752669
226387.8,121468,0.536548347569966
226389.8,121468.7,0.536546699542117
226385.6,121464.1,0.536536334466503
226388.8,121468,0.536545977539525
226391.8,121464.6,0.536523849362035
226390.8,121480.3,0.536595568371153
226377.1,121484.3,0.536645711955847
226380.3,121468.9,0.536570099076642
226364.9,121473.1,0.536625156992096
226394.1,121478.7,0.536580679443501
226376.5,121474.5,0.53660384359684
226379.9,121466.1,0.536558678575262
226391.8,121467,0.536534450452711
226381.3,121459.5,0.536526206007298
226381.9,121465.6,0.536551729621494
226353.6,121455.4,0.536573750097193
226352.3,121459.1,0.536593177979636
226356.8,121468.3,0.536623154241445
226353.6,121464.4,0.536613510896226
226381.6,121453.9,0.536500758012135
226393.5,121460,0.536499501973334
226371.8,121456.9,0.536537236528578
226355.6,121454.6,0.536565474854609
