08
H2O16c_ppm_se,H2O18c_ppm_se,HODc_ppm_se,
1.24225e+04,2.44732e+01,3.32245e+00,
1.24055e+04,2.44193e+01,3.32617e+00,
1.24420e+04,2.44945e+01,3.31861e+00,
1.24298e+04,2.44781e+01,3.36655e+00,
1.24439e+04,2.44859e+01,3.34849e+00,
1.24225e+04,2.44591e+01,3.34373e+00,
1.24122e+04,2.44388e+01,3.33171e+00,
1.24181e+04,2.44550e+01,3.35252e+00,
1.24566e+04,2.45020e+01,3.35877e+00,
1.24231e+04,2.44616e+01,3.38106e+00,
1.24576e+04,2.44930e+01,3.36013e+00,
1.24578e+04,2.45021e+01,3.33927e+00,
1.24249e+04,2.44775e+01,3.34593e+00,
1.24360e+04,2.44556e+01,3.33577e+00,
1.24161e+04,2.44413e+01,3.34594e+00,
1.23860e+04,2.43608e+01,3.33104e+00,
1.24270e+04,2.44732e+01,3.35020e+00,
1.24322e+04,2.44716e+01,3.36180e+00,
1.24074e+04,2.43945e+01,3.35297e+00,
1.24556e+04,2.45300e+01,3.36171e+00,
1.24660e+04,2.45136e+01,3.37679e+00,
1.24166e+04,2.44370e+01,3.36187e+00,
1.24314e+04,2.44495e+01,3.34613e+00,
1.23987e+04,2.44005e+01,3.33019e+00,
1.23892e+04,2.44204e+01,3.35763e+00,
1.24270e+04,2.44417e+01,3.34200e+00,
1.23871e+04,2.43604e+01,3.34475e+00,
1.24004e+04,2.44445e+01,3.33797e+00,
1.24225e+04,2.44348e+01,3.34678e+00,
1.24186e+04,2.44273e+01,3.33337e+00,
1.23894e+04,2.44290e+01,3.33564e+00,
1.23953e+04,2.44042e+01,3.31645e+00,
1.23808e+04,2.43749e+01,3.34349e+00,
1.24157e+04,2.44348e+01,3.34788e+00,
1.23581e+04,2.43333e+01,3.32217e+00,
1.23919e+04,2.43758e+01,3.33548e+00,
1.23473e+04,2.43047e+01,3.32960e+00,
1.23472e+04,2.42915e+01,3.32178e+00,
1.23371e+04,2.42695e+01,3.29628e+00,
1.23468e+04,2.42847e+01,3.30991e+00,
1.23453e+04,2.43355e+01,3.32720e+00,
1.23487e+04,2.43122e+01,3.32442e+00,
1.23533e+04,2.43142e+01,3.29575e+00,
1.23446e+04,2.43221e+01,3.33145e+00,
1.23555e+04,2.43423e+01,3.34140e+00,
1.22994e+04,2.42339e+01,3.32461e+00,
1.23096e+04,2.42460e+01,3.31429e+00,
1.23438e+04,2.42966e+01,3.31869e+00,
1.22984e+04,2.42311e+01,3.30036e+00,
1.22572e+04,2.41401e+01,3.29687e+00,
1.23240e+04,2.42595e+01,3.29744e+00,
1.22909e+04,2.42180e+01,3.30281e+00,
1.22765e+04,2.41660e+01,3.31346e+00,
1.22510e+04,2.41238e+01,3.30494e+00,
1.23086e+04,2.42137e+01,3.31957e+00,
1.22708e+04,2.41567e+01,3.31407e+00,
1.22888e+04,2.41660e+01,3.31060e+00,
1.22742e+04,2.41543e+01,3.30300e+00,
1.22758e+04,2.41630e+01,3.28721e+00,
1.22656e+04,2.41155e+01,3.28028e+00,
1.22784e+04,2.41550e+01,3.31651e+00,
1.23062e+04,2.42095e+01,3.31691e+00,
1.22629e+04,2.41351e+01,3.29761e+00,
1.22552e+04,2.41377e+01,3.29642e+00,
1.22766e+04,2.41446e+01,3.30928e+00,
1.22485e+04,2.40825e+01,3.28677e+00,
1.22710e+04,2.41678e+01,3.29056e+00,
1.22767e+04,2.41474e+01,3.29416e+00,
1.22549e+04,2.41267e+01,3.28144e+00,
1.22601e+04,2.41222e+01,3.31868e+00,
1.22507e+04,2.41182e+01,3.30347e+00,
1.22643e+04,2.41271e+01,3.28657e+00,
1.22769e+04,2.41736e+01,3.28270e+00,
1.22847e+04,2.41733e+01,3.32006e+00,
1.22620e+04,2.41224e+01,3.29185e+00,
1.22707e+04,2.41475e+01,3.32141e+00,
1.22880e+04,2.41932e+01,3.29547e+00,
1.22902e+04,2.42107e+01,3.30808e+00,
1.22642e+04,2.41551e+01,3.30587e+00,
1.22773e+04,2.41673e+01,3.30819e+00,
1.23100e+04,2.42497e+01,3.30738e+00,
1.22753e+04,2.41440e+01,3.30516e+00,
1.23098e+04,2.42546e+01,3.33623e+00,
1.22875e+04,2.41764e+01,3.31636e+00,
1.23193e+04,2.42218e+01,3.30078e+00,
1.22964e+04,2.42290e+01,3.29661e+00,
1.22826e+04,2.41905e+01,3.29345e+00,
1.23115e+04,2.42518e+01,3.29540e+00,
1.23276e+04,2.42606e+01,3.31433e+00,
1.23060e+04,2.42363e+01,3.30367e+00,
1.23046e+04,2.42144e+01,3.30940e+00,
1.23067e+04,2.42014e+01,3.30840e+00,
1.23361e+04,2.42717e+01,3.30495e+00,
1.22985e+04,2.41910e+01,3.32287e+00,
1.23323e+04,2.42575e+01,3.33632e+00,
1.23206e+04,2.42336e+01,3.29785e+00,
1.23262e+04,2.42459e+01,3.33382e+00,
1.23122e+04,2.42402e+01,3.30898e+00,
1.23187e+04,2.42060e+01,3.31392e+00,
1.23122e+04,2.42540e+01,3.31738e+00,
1.23366e+04,2.42735e+01,3.31799e+00,
1.23157e+04,2.42356e+01,3.32312e+00,
1.23417e+04,2.42915e+01,3.34372e+00,
1.23183e+04,2.42524e+01,3.31636e+00,
1.23538e+04,2.42821e+01,3.32340e+00,
1.23411e+04,2.42560e+01,3.31677e+00,
1.23312e+04,2.42671e+01,3.32015e+00,
1.23171e+04,2.42384e+01,3.31419e+00,
1.23420e+04,2.42743e+01,3.33262e+00,
1.23225e+04,2.42349e+01,3.34557e+00,
1.23044e+04,2.42015e+01,3.31058e+00,
1.23302e+04,2.42755e+01,3.31498e+00,
